Unnamed: 0,book_name,summaries,categories
195,The Happiness Project," will show you how to change your life, without actually changing your life, thanks to the findings of modern science, ancient history and popular culture about happiness, which the author tested for a year and now shares with you.",science
196,Immunity," is an introductory guide to how your immune system works, why it’s a double-edged sword, and which laws govern its existence.",science
197,Outliers," explains why “the self-made man” is a myth and what truly lies behind the success of the best people in their field, which is often a series of lucky events, rare opportunities and other external factors, which are out of our control.",science
198,Your Brain At Work," helps you overcome the daily challenges that take away your brain power, like constant email and interruption madness, high levels of stress, lack of control and high expectations, by showing you what goes on inside your head and giving you new approaches to control it better.",science
199,Willpower," is a blend of practical tips and the latest scientific research on self-control, explaining how willpower works, what you can do to improve it, how to optimize it and which steps to take when it fails you.",science
200,Talent Is Overrated," debunks both talent and experience as the determining factors and instead makes a case for deliberate practice, intrinsic motivation and starting early.",science
201,The Power Of Habit," helps you understand why habits are at the core of everything you do, how you can change them, and what impact that will have on your life, your business and society.",science
202,Bounce," shows you that training trumps talent every time, by explaining the science of deliberate practice, the mindset of high performers and how you can use those tools to become a master of whichever skill you choose.",science
203,Salt Sugar Fat," takes you through the history of the demise of home-cooked meals by explaining why you love salt, sugar and fat so much and how the processed food industry managed to hook us by cramming all 3 of those into their products.",science
204,Sex at Dawn," challenges conventional views on sex by diving deep into our ancestors’ sexual history and the rise of monogamy, thus prompting us to rethink our understanding of what sex and relationships should really feel and be like.",science
205,A Brief History Of Time," is Stephen Hawking’s way of explaining the most complex concepts and ideas of physics, such as space, time, black holes, planets, stars and gravity to the average Joe, so that even you and I can better understand how our planet was created, where it came from, and where it’s going.",science
206,Stumbling On Happiness," examines the capacity of our brains to fill in gaps and simulate experiences, shows how our lack of awareness of these powers sometimes leads us to wrong decisions, and how we can change our behavior to synthesize our own happiness.",science
207,Moonwalking With Einstein," not only educates you about the history of memory, and how its standing has declined over centuries, but also gives you actionable techniques to extend and improve your own.",science
208,Why Is Sex Fun," takes a humorous look at the evolution of human sex life, explaining why the way we behave sexually is often odd, but necessary for our survival.",science
209,The Light We Carry," is a set of practices to help you stay calm, optimistic, and confident in an unpredictable world, based on Michelle Obama’s life experiences as a woman, mother, lawyer, daughter, leader, and the former First Lady of the United States.",biography
210,Dear Girls," is a collection of letters written by comedian Ali Wong to her two daughters, recounting tales from her youth and life in an attempt to pass on some hard-earned wisdom to them and anyone willing to listen to her story.",biography
211,On Writing, details Stephen King’s journey to becoming one of the best-selling authors of all time while delivering hard-won advice on the craft to aspiring writers.,biography
212,Never Finished," is an inspiring blueprint for leveling up in the game of life that never ends, offering 8 evolutions of thought, painful truths, and motivating stories to help you smash any and all glass ceilings in your life.",biography
213,Will," is world-famous actor and musician Will Smith’s autobiography, outlining his life’s story all the way from his humble beginnings in West Philadelphia to achieving fame as a musician and then global stardom as an actor and, ultimately, one of the most influential people of our time.",biography
214,The Code Breaker," details the life of Nobel Prize winner Jennifer Doudna, who embarked on — and successfully completed — a journey to invent a tool that allows us to edit the human genetic code and thus will change our lives, health, and future generations forever.",biography
215,Siddhartha," presents the self-discovery expedition of a man during the time of the Buddha who, unsure of what life really means to him, takes an exploratory journey to pursue the highs and lows of life, which ultimately leads him to discover the equilibrium in all things and a higher wisdom within.",biography
216,Permanent Record," delves into the life story of Edward Snowden, the well-renowned national whistleblower who built the exposé on STELLARWIND, the US mass surveillance program used to spy on American citizens.",biography
217,The Undoing Project, talks about the life and extensive research in the psychology of Kahneman and Tversky by bringing forth some of the most influential and groundbreaking discoveries they unveiled about human behavior and the biases in our decisions.,biography
218,Love Warrior," delves into the life of Glennon Doyle, a woman who battled with self-destructive behaviors, eating disorders, depression, and many more challenges before finally embracing the life she deserved and started living meaningfully while being true to herself.",biography
219,The Light We Carry," is a set of practices to help you stay calm, optimistic, and confident in an unpredictable world, based on Michelle Obama’s life experiences as a woman, mother, lawyer, daughter, leader, and the former First Lady of the United States.",biography
220,Dear Girls," is a collection of letters written by comedian Ali Wong to her two daughters, recounting tales from her youth and life in an attempt to pass on some hard-earned wisdom to them and anyone willing to listen to her story.",biography
221,On Writing, details Stephen King’s journey to becoming one of the best-selling authors of all time while delivering hard-won advice on the craft to aspiring writers.,biography
222,Never Finished," is an inspiring blueprint for leveling up in the game of life that never ends, offering 8 evolutions of thought, painful truths, and motivating stories to help you smash any and all glass ceilings in your life.",biography
223,Will," is world-famous actor and musician Will Smith’s autobiography, outlining his life’s story all the way from his humble beginnings in West Philadelphia to achieving fame as a musician and then global stardom as an actor and, ultimately, one of the most influential people of our time.",biography
224,The Code Breaker," details the life of Nobel Prize winner Jennifer Doudna, who embarked on — and successfully completed — a journey to invent a tool that allows us to edit the human genetic code and thus will change our lives, health, and future generations forever.",biography
225,Siddhartha," presents the self-discovery expedition of a man during the time of the Buddha who, unsure of what life really means to him, takes an exploratory journey to pursue the highs and lows of life, which ultimately leads him to discover the equilibrium in all things and a higher wisdom within.",biography
226,Permanent Record," delves into the life story of Edward Snowden, the well-renowned national whistleblower who built the exposé on STELLARWIND, the US mass surveillance program used to spy on American citizens.",biography
227,The Undoing Project, talks about the life and extensive research in the psychology of Kahneman and Tversky by bringing forth some of the most influential and groundbreaking discoveries they unveiled about human behavior and the biases in our decisions.,biography
228,Love Warrior," delves into the life of Glennon Doyle, a woman who battled with self-destructive behaviors, eating disorders, depression, and many more challenges before finally embracing the life she deserved and started living meaningfully while being true to herself.",biography
229,Killing the Mob," discusses a controversial topic – the mob, by outlining how the organized crime took place in America during the twentieth century, how conmen, robbers, murderers, and many others lived their lives, and how many organizations and rich families kept their power centralized.",biography
230,More Money Than God," teaches us about the ins and outs of hedge funds, how those managing money makes a profit, and how you can learn from them and apply their techniques to your money management strategy.",biography
231,How To Be A Bawse," briefly explores the life of Youtube superstar Lilly Singh and offers straightforward, yet practical advice on how to conquer your fears, follow your dreams and learn to use failures to your advantage in order to build the life you want to live.",biography
232,Untamed," is an inspiring memoir of Glennon Doyle, a woman who found peace and inner strength by challenging life in all its areas, from love to parenting, personal growth, and work, after going through a powerful change that led her to discover crucial aspects about herself and allowed her to build a new life.",biography
233,Tesla: Man Out of Time," presents the biography and remarkable life of Nikola Tesla, one of the most notable inventors and engineers of all time, while also highlighting his bumpy relationship with Thomas Edison and his heavy childhood.",biography
234,Minor Feelings," explores the purgatory state that Asian-Americans are stuck into as immigrants who have an image of non-white and non-black people who don’t speak, disturb, or make any impression at all.",biography
235,The Story of Philosophy," profiles the lives of great Western philosophers, such as Plato, Socrates, and Nietzsche, exploring their views on politics, religion, morality, the meaning of life, and plenty of other important concepts.",biography
236,Win or Learn," explores the philosophy of life and the secrets behind peak performance in MMA of John Kavanagh, the trainer and friend of superstar Conor McGregor, and their journey to success which started in a modest gym in Ireland and ended up with McGregor having a net worth of 100 million dollars. ",biography
237,All In," talks about the life of Billie Jean King, a remarkable woman and tennis player who fought for gender equality in sports and managed to change the US legislature in this regard by never giving up on her vision, which is to ensure a no discrimination zone in sports for young women.",biography
238,Invent & Wander," is a collection of Jeff Bezos’s writings and letters to its shareholders, in which he expresses his philosophy of life and his way of doing business, which ultimately led him to know tremendous success and write history with his two companies: Amazon and Blue Origin.",biography
239,Poor Charlie’s Almanack," explores the life of the famous investor Charlie Munger, the right hand of Warren Buffett, and teaches its readers how his inspirational take on life helped him achieve a fortune and still have time and money to dedicate towards philanthropic causes.",biography
240,Richard Nixon: The Life," presents the detailed biography of the thirty-seventh president of the United States, who became famous for his successful endeavors that put him in the White House and for his controversial life the complexities of being such a top tier political figure.",biography
241,The Last Lecture," is a college professor’s final message to the world before his impending death of cancer at a relatively young age, offering meaningful life advice, significant words of wisdom, and a great deal of optimism and hope for humanity.",biography
242,How To Fail," shows the surprising benefits of going through a difficult time through the experiences of the author, Elizabeth Day, including the failures in her life that she’s grateful for and how they’ve helped her grow, uncovering why we shouldn’t be so afraid of failure but instead embrace it.",biography
243,What Happened," is Hillary Clinton’s post-mortem on the events and surprising result of her bid for the 2016 United States presidential election, including why she ran for president in the first place, what made it so hard for her to come out on top, and how the loss affected her after election night.",biography
244,Open, is the autobiography of world-famous tennis player Andre Agassi in which he details his struggles and successes on the way to self-awareness and balance while he was also trying to handle the constant pressures and difficulties that came from being one of the best tennis players in the world.,biography
245,Dark Towers," dives into the dirty inner workings and the rise and fall of Deutsche Bank, which contributed to many notable but not always beneficial events of the past 150 years, including the American railroad system, the Nazi regime, funding Russian oligarchs, and even the election of Donald Trump.",biography
246,Greenlights," is the autobiography of Matthew McConaughey, in which he takes us on a wild ride of his journey through a childhood of tough love, rising to fame and success in Hollywood, changing his career, and more, guided by the green lights he saw that led him forward at each step.",biography
247,The Double Helix," tells the story of the discovery of DNA, which is one of the most significant scientific findings in all of history, by explaining the rivalries, struggles of the prideful scientific community to work together, and other roadblocks that James Watson had on the way to making the breakthrough of a lifetime that would change his life and the entire world.",biography
248,Titan," will inspire you to keep working hard to make your business goals happen by sharing the life story of John D. Rockefeller Sr., from his humble beginnings to his astronomical success as an oil tycoon and beyond.",biography
249,The Truths We Hold," is the autobiography of civil rights activist, Californian Senator, and Vice President Kamala Harris, which details her early years in the justice system fighting for the people and what she has been doing in the last few years to help those suffering from the inefficiencies in the United States government.",biography
250,Mighty Be Our Powers, shares the inspirational story of Leymah Gbowee who helped bring together an influential group of women that were tired of the unrest in their country and whose efforts eventually led to the end of a devastating and long-lasting civil war.,biography
251,A Promised Land," is former president Barack Obama’s memoir in which he explains how he got into politics, what it was like for him to be president of the United States from 2009 to 2017, and how he felt during some of his biggest achievements, like passing the Affordable Care Act.",biography
252,A Higher Loyalty," shares James Comey’s experiences as the director of the FBI and outlines what he learned about leadership, ethics, and politics throughout his life, career, and experiences with President Trump who was the reason he lost his job in May of 2017.",biography
253,First They Killed My Father," is Loung Ung’s account of the horrific events that she and her family had to go through while living in Cambodia during the Khmer Rouge regime in the 1970s and explains how it devastated their country, the way it separated their family, and how Loung got through it all.",biography
254,Hillbilly Elegy, is the inspiring autobiography of J.D. Vance who explains how his life began in poverty and turbulence and what he had to do to beat those difficult circumstances and rise to success.,biography
255,The Ride Of A Lifetime," illustrates Robert Iger’s journey to becoming the CEO of Disney, and how his vision, strategy, and guidance successfully led the company through a time when its future was highly uncertain.",biography
256,Imagine It Forward," inspires businesses and individuals to challenge outdated thinking and ways of doing work by sharing the life and business experiences of Beth Comstock, one of America’s most innovative businesswomen.",biography
257,Educated," will help you become more grateful for your schooling, freedom, and normal relationships by explaining the family difficulties that Tara Westover had to break free of so that she could get her own education.",biography
258,Alibaba," shares the inspiring story of Jack Ma’s hard work, entrepreneurial vision, and smart thinking that helped him build one of the most successful and influential companies in the world. ",biography
259,Between The World And Me, helps us all fight prejudice and prepares young black men in the US for growing up by revealing Ta-Nehisi Coates’s reality of life as a black man dealing with racism in America.,biography
260,Born A Crime, will inspire you to make great things happen no matter what circumstances you’re born into by revealing the story of how Trevor Noah grew up as a mixed child in South Africa on the way to becoming an adult.,biography
261,The Immortal Life of Henrietta Lacks, makes you smarter and more compassionate by revealing the previously unknown story of a woman with extraordinary cells that still live today and have contributed to dozens of medical breakthroughs.,biography
262,Barbarians At The Gate, shows you how not to run a business and reveals the shocking greed of corporate America in the 1980s by telling the story of the leveraged buyout of RJR Nabisco.,biography
263,Becoming," will use Michelle Obama’s life story to motivate you to move forward with your dreams regardless of your circumstances, criticism, or what people think.",biography
264,The Man Who Solved The Market, shares the interesting story of Jim Simons’s rise to wealth and success that came from him tapping into his math genius to make incredible gains in stock market investments.,biography
265,Alexander Hamilton," will inspire you to boldly use your strengths to change the world as it tells the story of a poor orphan who grew to become one of the most intelligent, ambitious, and influential people in American history.",biography
266,When Breath Becomes Air," helps you see what’s really important by diving into Paul Kalanithi’s life of loving neuroscience, literature, meaning, and his family that ended from cancer in his mid-thirties. ",biography
267,A Woman of No Importance," tells the fascinating and exciting story of Virginia Hall, an American who became one of the best spies for the Allies in World War II and helped significantly in the defeat of Nazi Germany.",biography
268,A Beautiful Mind," tells the fascinating story of the mathematical genius, mental illness, and miraculous recovery and success of John Nash Jr.",biography
269,How To Be Black, is a personal story illustrating what it means to be black in a reality largely determined by the white culture.,biography
270,Extreme Ownership," contains useful leadership advice from two Navy SEALs who learned to stay strong, disciplined, and level-headed in high-stakes combat scenarios.",biography
271,Make Your Bed, encourages you to pursue your goals and change the lives of others for the better by showing that success is a combination of individual willpower and mutual support.,biography
272,Can’t Hurt Me," is the story of David Goggins, who went from being overweight and depressed to becoming a record-breaking athlete, inspiring military leader, and world-class personal trainer.",biography
273,Team Of Rivals," explains why Abraham Lincoln rose above his political rivals despite their stronger reputations and how he used empathy to unite not just his enemies, but an entire country.",biography
274,Outwitting The Devil," is an imagined interview between Napoleon Hill and the Devil himself, in which he wrings certain truths from the root of evil, which will help us avoid his grasp and live a good life.",biography
275,Minimalism, is an instructive introduction to the philosophy of less and how it helped two guys who had achieved the American dream let go of their possessions and the depressions that came with them.,biography
276,How To Fail At Almost Everything And Still Win Big, is the memoir of Dilbert cartoonist Scott Adams,biography
277,Leonardo Da Vinci," is Walter Isaacson’s account of the life of one of the most brilliant artists, thinkers, and innovators who ever lived.",biography
278,Principles," holds the set of rules for work and life billionaire investor and CEO of the most successful fund in history, Ray Dalio, has acquired through his 40-year career in finance.",biography
279,Finding My Virginity," is Richard Branson’s follow-up biography, which shares the highlights of his entrepreneurial journey over the past two decades.",biography
280,Walden," details Henry David Thoreau’s two-year stay in a self-built cabin by a lake in the woods, sharing what he learned about solitude, nature, work, thinking and fulfillment during his break from modern city life.",biography
281,The Monk Who Sold His Ferrari," is a self-help classic telling the story of fictional lawyer Julian Mantle, who sold his mansion and Ferrari to study the seven virtues of the Sages of Sivana in the Himalayan mountains.",biography
282,Option B," shares the stories of people who’ve had to deal with a traumatizing event, most notably Facebook’s COO Sheryl Sandberg, to help you face adversity, become more resilient and find joy again after life punches you in the face.",biography
283,Genius: The Life And Science Of Richard Feynman," tells the story of one the greatest minds in the history of science, all the way from his humble beginnings to changing physics as we know it and receiving the Nobel prize.",biography
284,The Snowball," is the only authorized biography of Warren Buffett, the “Oracle of Omaha,” legendary value investor and once richest man on earth, detailing his life from the very humble beginnings all the way to his unfathomable success.",biography
285,Napoleon The Great," is the definitive, modern biography of legendary leader, French idol and European visionary Napoleon Bonaparte, detailing his life from his early years as an immigrant, over his rise through the military ranks, all the way to his greatest battles, political achievements and ultimate exile.",biography
286,The Man Who Fed The World," is the biography of Dr. Norman Borlaug, Nobel Peace Prize laureate and US national hero, who saved over a billion lives by dedicating his own to ending world hunger and leading the green revolution, which helped get agriculture to a point where it can feed the world.",biography
287,iWoz," is Steve Wozniak’s autobiography, detailing his story in his own words, from early tinkering with electronics in his home, to college and his first job, all the way to singlehandedly creating the world’s first desktop computer, the Apple I and founding what would become the most valuable company in the world.",biography
288,Benjamin Franklin: An American Life, takes a thorough look at the life of one of the most influential humans that ever lived and explains how he could achieve such greatness in so many different fields and areas.,biography
289,Long Walk To Freedom," is the autobiography of Nelson Mandela, South African anti-apartheid activist, national icon and the first South African black president, elected in the first, fully democratic election in the country.",biography
290,Catch Me If You Can," is the story of how Frank Abagnale, one of the most famous con-artists in history, faked over eight identities, several professions, and cashed over $2.5 million of forged checks in the 1960s, until the police finally caught him at age 21.",biography
291,Shoe Dog," is the autobiography of Nike’s founder Phil Knight, who at last decided to share the story of how he founded one of the most iconic, profitable and world-changing brands in the world.",biography
292,Alexander The Great," is one of the latest, most updated, and contemporary books on the life of the ancient, Macedonian king, who would extend his empire from a little slide of land in Greece through Persia, Egypt, all the way to India, forming the greatest empire the ancient world had ever seen.",biography
293,Howard Hughes: His Life And Madness," details the birth, childhood, career, death and legacy of shimmering business tycoon Howard Hughes, who was a billionaire, world-renowned aviator, actor and industry magnate.",biography
294,Elon Musk," is the first official biography of the creator of SolarCity, SpaceX and Tesla, based on over 30 hours of conversation time between author Ashlee Vance",biography
295,Einstein: His Life And Universe," takes a close look at the life of Albert Einstein, beginning in how his childhood shaped him, what his biggest discoveries and personal struggles were and how his focus changed in later years, without his genius ever fading until his very last moment.",biography
296,The Autobiography Of Malcolm X, chronicles the life and work of one of the most influential members of the civil rights movement in the United States.,biography
297,Charlie Munger," teaches you the investment approach and ideas about life from Warren Buffett’s business partner and billionaire Charlie Munger, which the two have used for decades to run one of the most successful companies in the world.",biography
298,A Tale of Two Cities," tells the stories of two connected families in 18th-century London and Paris, exploring everything from love and loss to murder and family intrigue, thus teaching us about history, ethics, and the complexity of human relationships.",politics
299,The Light We Carry," is a set of practices to help you stay calm, optimistic, and confident in an unpredictable world, based on Michelle Obama’s life experiences as a woman, mother, lawyer, daughter, leader, and the former First Lady of the United States.",politics
300,Brave New World," presents a futuristic society engineered perfectly around capitalism and scientific efficiency, in which everyone is happy, conform, and content — but only at first glance.",politics
301,1984, is the story of a man questioning the system that keeps his futuristic but dystopian society afloat and the chaos that quickly ensues once he gives in to his natural curiosity and desire to be free.,politics
302,Permanent Record," delves into the life story of Edward Snowden, the well-renowned national whistleblower who built the exposé on STELLARWIND, the US mass surveillance program used to spy on American citizens.",politics
303,Maoism," explores the ideology of Mao Zedong, the Chinese leader of the communist party of the twentieth century, and how he managed to turn his doctrine into a mass-adopted phenomenon that continues even today, under different forms and shapes.",politics
304,The Dawn of Everything," tells the story of how we went from hunter-gatherers to city-builders, from the Stone Age to today’s modern world, all by exploring a series of new discoveries made by scientists who are challenging some long-held beliefs about our history.",politics
305,Killing the Mob," discusses a controversial topic – the mob, by outlining how the organized crime took place in America during the twentieth century, how conmen, robbers, murderers, and many others lived their lives, and how many organizations and rich families kept their power centralized.",politics
306,More Money Than God," teaches us about the ins and outs of hedge funds, how those managing money makes a profit, and how you can learn from them and apply their techniques to your money management strategy.",politics
307,The Sovereign Individual," jumps into the future and presents a new world where life moves into the online environment, where the cybereconomy rules and governments are struggling to control the people like they used to, all through a revolution more powerful than anything we’ve seen before.",politics
308,A Tale of Two Cities," tells the stories of two connected families in 18th-century London and Paris, exploring everything from love and loss to murder and family intrigue, thus teaching us about history, ethics, and the complexity of human relationships.",politics
309,The Light We Carry," is a set of practices to help you stay calm, optimistic, and confident in an unpredictable world, based on Michelle Obama’s life experiences as a woman, mother, lawyer, daughter, leader, and the former First Lady of the United States.",politics
310,Brave New World," presents a futuristic society engineered perfectly around capitalism and scientific efficiency, in which everyone is happy, conform, and content — but only at first glance.",politics
311,1984, is the story of a man questioning the system that keeps his futuristic but dystopian society afloat and the chaos that quickly ensues once he gives in to his natural curiosity and desire to be free.,politics
312,Permanent Record," delves into the life story of Edward Snowden, the well-renowned national whistleblower who built the exposé on STELLARWIND, the US mass surveillance program used to spy on American citizens.",politics
313,Maoism," explores the ideology of Mao Zedong, the Chinese leader of the communist party of the twentieth century, and how he managed to turn his doctrine into a mass-adopted phenomenon that continues even today, under different forms and shapes.",politics
314,The Dawn of Everything," tells the story of how we went from hunter-gatherers to city-builders, from the Stone Age to today’s modern world, all by exploring a series of new discoveries made by scientists who are challenging some long-held beliefs about our history.",politics
315,Killing the Mob," discusses a controversial topic – the mob, by outlining how the organized crime took place in America during the twentieth century, how conmen, robbers, murderers, and many others lived their lives, and how many organizations and rich families kept their power centralized.",politics
316,More Money Than God," teaches us about the ins and outs of hedge funds, how those managing money makes a profit, and how you can learn from them and apply their techniques to your money management strategy.",politics
317,The Sovereign Individual," jumps into the future and presents a new world where life moves into the online environment, where the cybereconomy rules and governments are struggling to control the people like they used to, all through a revolution more powerful than anything we’ve seen before.",politics
318,How to Be Right," delves into some of the thorniest issues that author O’Brien had to deal with throughout his career as a radio host in London, where he came across provocative arguments, people who love to debate just for the sake of it, and many others who used manipulation to get their point across.",politics
319,Invisible Women," talks about the flaws in our societal system, which was built on the premise that men should rule and conquer the world while women should stay at home, which is why we’re still seeing gender gaps in the personal, professional, and day-to-day lives of women.",politics
320,Requiem For The American Dream," argues that the gap between the wealthy and the poor is not an accident, but rather the result of intentional policy decisions made by rich individuals and corporations to increase their power and decrease that of ordinary citizens.",politics
321,The Person You Mean to Be, teaches you how to navigate cognitive biases that may prevent you from forming meaningful relationships and experiencing the world as it is by leading you to wrongful assumptions or limitations about your environment or by anchoring you in your preexisting beliefs.,politics
322,First Principles," delves into the history of American evolution and highlights how the parents of modern thinking were inspired by Roman and Greek philosophy in their mindset, military actions, views of the world, and many more.",politics
323,The Second Sex," delves into the concept of feminism by looking at historical facts and biases, and explains how being a woman implies being subjugated to a man and making yourself smaller so that you can fit in today’s world, but also how women everywhere should react to the system and change it.",politics
324,Minor Feelings," explores the purgatory state that Asian-Americans are stuck into as immigrants who have an image of non-white and non-black people who don’t speak, disturb, or make any impression at all.",politics
325,The Authoritarian Moment," presents the America of today, where authoritarian powers seem to be taking over while putting the democracy at risk, and pleas to protect the freedom and rights that the founding fathers of democracy built centuries ago.",politics
326,"Woke, Inc."," taps into the dark secrets of the woke culture in corporate America, which organizations generate tremendous amounts of profit by hiding behind causes like social justice, gender equality, climate change, and many other popular matters.",politics
327,The Story of Philosophy," profiles the lives of great Western philosophers, such as Plato, Socrates, and Nietzsche, exploring their views on politics, religion, morality, the meaning of life, and plenty of other important concepts.",politics
328,Richard Nixon: The Life," presents the detailed biography of the thirty-seventh president of the United States, who became famous for his successful endeavors that put him in the White House and for his controversial life the complexities of being such a top tier political figure.",politics
329,How to Be a Conservative," builds the case for traditionalists and conservative people who view society through the lenses of someone who’s defending their nation, the long-lasting values of the world, the free market, and many other healthy principles. ",politics
330,The Social Contract," is a political piece of writing that serves as a pylon for the democracies of today, as it theorizes the elements of a free state where people agree to coexist with each other under the rules of a common body that represents the general will.",politics
331,An Ugly Truth," offers a critical look at Facebook and its administrators, who foster a gaslighting environment and a controversial social media platform that can easily become a danger for its users both virtually and in real life due to its immense power and influence on our society.",politics
334,Socialism," by Michael Newman outlines the history of the governmental theory that everything should be owned and controlled by the community as a whole, including how this idea has impacted the world in the last 200 years, how its original aims have been lost, and ways we might use it in the future.",politics
335,How Democracies Die," lays out the foundational principles of working democracies by looking at historical events, especially in Latin America, that show how democracies have failed in the past, how it could happen again, and how we can protect democracy from threats like bad leadership, inequality, and extremism.",politics
336,What Happened," is Hillary Clinton’s post-mortem on the events and surprising result of her bid for the 2016 United States presidential election, including why she ran for president in the first place, what made it so hard for her to come out on top, and how the loss affected her after election night.",politics
337,Hood Feminism," explores the idea that traditional feminism only seeks to improve life for white women and not all women, arguing that true equality and inclusivity means seeking to lift all women, including those of color.",politics
338,How To Be A Leader," is Greek philosopher Plutarch’s guide to leadership and uses practical ideas, historical narratives, political events, and more to outline the qualities of the best leaders, including serving for the right reasons, speaking persuasively, and following more experienced leaders.",politics
339,Dark Towers," dives into the dirty inner workings and the rise and fall of Deutsche Bank, which contributed to many notable but not always beneficial events of the past 150 years, including the American railroad system, the Nazi regime, funding Russian oligarchs, and even the election of Donald Trump.",politics
340,The Great Escape," challenges the idea that the world is on fire by declaring that things have never been better in many ways, although the advancements we’ve made and the ways they have improved many lives haven’t reached everyone equally.",politics
341,Why Nations Fail," dives into the reasons why economic inequality is so common in the world today and identifies that poor decisions of those in political power are the main reason for unfairness rather than culture, geography, climate, or any other factor.",politics
342,The Myth Of The Strong Leader," reveals why being a bold, charismatic leader might not be all it’s cracked up to be, showing that we give way too much credit to “strong” leaders and illustrating the problematic consequences this societal pattern entails.",politics
343,Ten Arguments For Deleting Your Social Media Accounts Right Now," shows why you should quit social media because it stops joy, makes you a jerk, erodes truth, kills empathy, takes free will, keeps the world insane, destroys authenticity, blocks economic dignity, makes politics a mess, and hates you.",politics
344,The End Of Power, explains why the old positions of power aren’t as powerful as they used to be due to recent changes in society and technology and how this shift has put more influence in the hands of everyday citizens like you and what it might mean for the future of our governments and world.,politics
345,Restart," tells the story of India’s almost-leadership of the world’s economy, showing why and how it instead succumbed to problems from the past, how those problems still hold it back today, and what the country might do about them.",politics
346,How To Avoid A Climate Disaster," is Bill Gates’ plea to the individuals, governments, and business leaders of the world to reduce greenhouse emissions by changing the way we make things, plug in, grow things, get around, and keep warm and cool.",politics
347,The Truths We Hold," is the autobiography of civil rights activist, Californian Senator, and Vice President Kamala Harris, which details her early years in the justice system fighting for the people and what she has been doing in the last few years to help those suffering from the inefficiencies in the United States government.",politics
348,The Big Necessity," makes you smarter about feces by explaining how sanitation works, the damage it causes when it’s not done properly, and what we can do to improve it around the world.",politics
349,White Fragility," will help you take steps toward becoming a kinder and more fair person by helping you understand why it’s so difficult for white people, especially in America, to talk about racism.",politics
350,Shattered," explains the details around Hillary Clinton’s shocking 2016 presidential election loss and explains how an FBI investigation, Bernie Sanders, infighting on her team, and overconfidence in data analytics all contributed to her defeat.",politics
351,Prisoners Of Geography," explains how the location of a country dramatically affects its success and the amount of power it has in the world, and how this has determined the outcomes of major world events for centuries.",politics
352,Green Illusions," will open your mind to the true nature of our problem with energy by explaining the potential dangers and inefficiencies of alternative energy sources like wind, hydrogen, solar, and nuclear, and identifies the real culprit of our energy crisis and how to stop it.",politics
353,Mighty Be Our Powers, shares the inspirational story of Leymah Gbowee who helped bring together an influential group of women that were tired of the unrest in their country and whose efforts eventually led to the end of a devastating and long-lasting civil war.,politics
354,A Promised Land," is former president Barack Obama’s memoir in which he explains how he got into politics, what it was like for him to be president of the United States from 2009 to 2017, and how he felt during some of his biggest achievements, like passing the Affordable Care Act.",politics
355,A Higher Loyalty," shares James Comey’s experiences as the director of the FBI and outlines what he learned about leadership, ethics, and politics throughout his life, career, and experiences with President Trump who was the reason he lost his job in May of 2017.",politics
356,The Ethics Of Ambiguity," explains existentialist philosophy in a post–World War II setting, showing us how we can accept the absurdity of life and use its randomness to create rather than despair.",politics
357,The Warmth Of Other Suns," is the story of how and why millions of Black Americans left the South between 1915 and 1970 to escape the brutality of the Jim Crow Laws and find safety, better pay, and more freedom in what is known today as The Great Migration.",politics
358,Just Mercy," explains why the United States judicial system is so broken, including how its bias toward women, Blacks, minorities, and others makes communities and the entire country a worse place and what author Bryan Stevenson is doing with his Equal Justice Initiative to try to stop these injustices.",politics
359,First They Killed My Father," is Loung Ung’s account of the horrific events that she and her family had to go through while living in Cambodia during the Khmer Rouge regime in the 1970s and explains how it devastated their country, the way it separated their family, and how Loung got through it all.",politics
360,The End Of Poverty," will help you develop a kinder and more compassionate heart by opening your eyes to the terrible state of the poorest countries in the world, how they got to be this way, and why solving this problem is in our best interests and may be easier than we think.",politics
361,On Tyranny," makes you more vigilant of the warning signs of oppression by identifying it’s political nature, how to protect yourself and society, and what you can do to resist dangerous leadership.",politics
362,The Hot Zone," is Richard Preston’s version of a terrifying true story of how the Ebola virus came to be, why it’s so deadly and contagious, and how this all reveals our massive vulnerabilities and inefficiencies when it comes to fending off pandemics of all kinds.",politics
363,Stamped From The Beginning, will open your mind to the true origins of racism by challenging your long-held beliefs about it that have been perpetrated by racists throughout history.,politics
364,Upheaval," enlightens you by telling the stories of seven countries that fell into crises, including how they got there and what they did to get out, and identifies the common threads between all of them.",politics
365,Winners Take All," helps you see the ultra-rich in a more accurate light by identifying their shady strategies, including using the idea of “making the world a better place” as a front that only serves as a way to solidify their wealth and power.",politics
366,Evicted," reveals the awful situation of those living in the poorest cities in the United States by identifying how this situation came to be, the horrendous effect it has on the individuals and families that deal with it, and what we might do to stop it.",politics
367,Dreamland," blows open the story of the United States’ opioid crisis, from the frustrating greed and oversight that created it, how drug dealers accelerated it’s spread, and what we’re doing now to stop it.",politics
368,So You Want To Talk About Race," will help you make the world a better, fairer place by explaining how deeply entrenched racism is in our culture today and giving specific tips for having effective conversations about it so you can help end this major issue with society.",politics
369,What The Eyes Don’t See," tells the shocking and unfortunate story of the public drinking water crisis in Flint, Michigan and how one woman stood up against government corruption and racism to make a positive difference for the city.",politics
